ID;Institution;academic_year;location;programme;study_mode;cohort;Would you like to give your institution any other feedback on the content and organisation of your course programme?;Would you like to give your institution any other feedback on the link with professional practice / professional careers?;Would you like to give your institution any other feedback on the teachers on your course programme?;Would you like to give your institution any other feedback on support/mentoring?;Would you like to give your institution any other feedback on examination and assessment?;Would you like to give your institution any other feedback on engagement and contact?;Would you like to give your institution any other feedback on studying under special circumstances?
506;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;It would help greatly if the criteria were documented better, especially for the essays.;Meer variatie in de gastsprekers, zodat we een breder beeld van het vakgebied krijgen.;Please consider assigning us a dedicated, stable academic advisor for the entire program duration.;Thank you for building such a supportive environment where effort is always recognized.;We zouden een betere technische ondersteuning nodig hebben tijdens de hele examentijd.;Kortom, meer mogelijkheden voor spontane contactmomenten zouden de leerervaring verbeteren.;The lecturers were genuinely understanding about my extended deadlines, which helped greatly.
507;1;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;Het is prima, maar soms is het lastig om de verbanden tussen de verschillende modules te zien.;Het carrièrecentrum is goed, maar zou meer focus kunnen leggen op niche-sectoren.;We are constantly chasing updates, the weeks-long delay for simple replies is unacceptable.;The counseling services are good, but I wish they were easier to book and less intimidating.;"Graag meer context bij de examenvragen; ik was onzeker over de precieze reikwijdte van de benodigde kennis.";De coaches waren vriendelijk, maar de gesprekken misten soms wat persoonlijke betrokkenheid.;Offering customized learning tracks would greatly improve the overall student experience.
508;2;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;Het zou goed zijn om de les te verbreden met betere aandacht voor uitsluiting en marginalisatie.;We need practical guidance on job application follow-ups and professional etiquette.;Ik heb de indruk dat er veel onduidelijkheid is over de gangbare praktijk onder de docenten.;Alleen maar dat ik zo goed geadviseerd ben over mijn toekomst en loopbaanontwikkeling.;Wanneer kunnen we verwachten de resultaten? Het wachten is erg onzeker en frustrerend.;Graag zouden we meer mentorship programma's willen, zowel oudere als jongere studenten, voor betere sociale integratie.;Providing individualized academic advising would greatly support a tailored educational journey.
509;2;2026/27;Eindhoven;ICT & Business;Full-time;First-year;The allocated time for this course is insufficient, making deep understanding quite challenging.;It would be great to have industry experts discuss salary expectations and market trends.;Kortom, de mentorrol is een pluspunt, maar de begeleiding van de mentoren zelf is wisselend.;Het is nuttig, maar de bereikbaarheid en wachttijden van de hulpdiensten zijn nog te groot.;Could the assessment structure be diversified to reduce the single-exam focus?;Could the coaches offer more advanced strategies tailored to our specific courses?;Het zou nuttig zijn om meer flexibiliteit te zien bij het inkorten van het curriculum voor studeren onder druk.
510;2;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;I believe incorporating indigenous knowledge systems would greatly enhance our understanding of the subject.;Voorkeur gaat naar assignments die echte marktonderzoeksprojecten nabootsen en oplossen.;Het is een goede initiatief, maar ik wil vragen of er meer begeleiding kan komen bij moeilijke vakinhoudelijke onderwerpen.;Ik zou graag meer regelmatige check-ins willen, misschien zelfs een keer per week.;Could we get an estimated timeframe for when the detailed feedback will be released, please?;Zou de docenten meer ruimte kunnen laten voor spontane, informele discussies tijdens de virtuele lessen?;De video's missen vaak ondertiteling, wat het leren lastig maakt zonder specifieke hulpmiddelen.
511;2;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;Seriously, [NAME] needs to expedite the grading process, our grades are perpetually delayed.;More hands-on insights from experts working in niche parts of the industry would be invaluable for us students.;Could there be more interactive virtual sessions that mimic in-person class energy?;More peer-led support groups focusing on transition anxiety would really benefit students.;Maybe menggantikan written exams with hands-on lab assessments would be better.;Could the department organize more small group workshops instead of just large lectures? We need interaction.;Zou het mogelijk zijn om een portfolio-gebaseerde benadering voor het curriculum te overwegen?
512;1;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;Ik begrijp niet waarom mijn werk niet goed genoeg was als de criteria nooit volledig zijn uitgelegd.;Excursies naar bedrijven helpen ons veel meer dan alleen theorie te begrijpen over de industrie.;Ik waardeer de bereidheid om altijd extra uren in te plannen voor ons, geweldig werk.;It is hard to focus when I don't know if my reported issues will actually lead to any changes.;Ik vond het algemeen eerlijk, maar de communicatie over mogelijke verbeterpunten na het examen was te minimaal.;I wish there was a dedicated office hour schedule to catch staff if I have urgent questions.;More support and adaptable timelines are needed when students are dealing with unpredictable health issues.
513;2;2026/27;Eindhoven;Artificial Intelligence;Part-time;First-year;De docent is erg deskundig, maar het gevoel was dat de stof te snel werd behandeld in de laatste modules.;Het zou goed zijn om meer rollenspel te doen over lastige gesprekken met collega’s.;Ik voelde dat de docent meer uit een handleiding sprak dan vanuit eigen expertise.;De workshops waren erg behulpzaam, maar ik zou meer aandacht voor diverse culturen willen zien.;A mix of assessments is great, but clustering major exams back-to-back is overwhelming.;Misschien een wekelijkse overzichtspost met alle aankomende wijzigingen, dat zou fijn zijn.;I felt completely supported emotionally and academically by the entire academic team.
514;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Ik heb het gevoel dat we meer praktische oefeningen nodig hebben dan wat nu wordt gegeven.;Het zou goed zijn om de relatie tussen vakinhoud en specifieke arbeidsmarktbehoeften beter te integreren.;I spent half a day waiting for a response that finally came after nearly two weeks.;Could we get clearer timelines for addressing common student complaints regarding resources?;Het is cruciaal om de feedback snel te krijgen zodat we onze leerpunten direct kunnen aanpassen.;"Het zou fijn zijn als de docenten sneller reageerden op e-mails; ik wacht vaak te lang.";More accessible resources for emotional support are needed, especially for stressed parents.
515;1;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;Could the curriculum incorporate more diverse voices, especially those from post-colonial literature?;Verder inzicht in de dagelijkse uitdagingen via industrie-experts zou de leerervaring verbeteren.;Het voelt alsof mijn e-mails verdwijnen in een zwart gat, wekenlang zonder reactie.;Could you implement a formal buddy system for incoming first-year students? Dank u!;Het zou een enorme verbetering zijn als de feedback direct na het examen te ontvangen was.;Het contact met mijn mentor was sporadisch en voelde soms wat te algemeen aan.;The LMS needs a clearer guide on how to correctly format downloadable documents for maximum accessibility.
516;2;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;Kunnen we een voorbeeld zien van een A-kwaliteit paper, alstublieft?;Zou het mogelijk zijn om een platform te creëren voor studenten om zelf professionele contacten te initiëren?;I wish the department would provide more context regarding the teachers' individual strengths.;Zou het mogelijk zijn om meer sessies over AI en industriële toepassingen te organiseren?;Could the institution ensure exams only test what was genuinely covered in the course syllabus?;Ik zou meer behoefte hebben aan een gedeelde, informele ruimte voor ontspanning en discussie.;Perhaps a more streamlined process for requesting academic adjustments would be beneficial.
517;2;2026/27;Eindhoven;Cyber Security;Full-time;First-year;Ik heb moeite met de onbetrouwbaarheid van de streamingvideo's tijdens de lessen.;Het zou fijn zijn als er meer modules waren over agile project management methodologieën.;Helaas voelde het soms alsof de mentors zelf de stof niet volledig begrepen.;I'd prefer something more structured, like a quick check-in after every major milestone, really.;Ik raad aan om een proefexamen te doen om de technische stabiliteit goed te testen voordat het echte examen plaatsvindt.;Zou het mogelijk zijn om een keer per week een Q&A sessie te organiseren?;The counselor's approach was excellent, offering practical tips and genuine emotional support.
518;2;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;Could we please get more practical sessions? The current hours are not sufficient.;It would be great to see more guest speakers from actual professionals in the field.;Het zou enorm helpen als we meer sessies over het opbouwen van een professioneel netwerk zouden houden.;Het is moeilijk om een consistent mentorcontact te krijgen vanwege de planningbeperkingen.;Het systeem voelt te veel gericht op een cijfer en te weinig op het leren zelf.;Ik moet te vaak gissen of het secretariaat de juiste mensen kan doorverwijzen bij complexe vragen.;Het zou fijn zijn als er meer opties waren voor verlate inleveringen, zonder te veel bureaucratie.
519;2;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;The professors truly emphasized real-world applications, which I found incredibly valuable.;Could we get dedicated workshops on using industry-standard project management software like Jira?;The lack of consistent mentorship undermines the entire purpose of the program structure.;I really appreciate the counseling services, they made a huge difference for my anxiety.;It would be great to spread out the exams more evenly alongside our coursework assignments.;Het is lastig om snelle feedback te krijgen als men moet wachten tot de werkweek begint.;Het zou goed zijn met meer peer-support groepen, waar studenten elkaar informeel kunnen helpen.
520;1;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;Het zou helpen als meer internationale casestudies in de lessen werden opgenomen, om een breder perspectief te geven.;Het zou ideaal zijn met een centraal portaal voor alle stagegerelateerde informatie.;More private consultation slots would greatly improve the feeling of being supported.;De sociale aspecten van het programma hebben mij geholpen de campus meer te omarmen en mij thuis te voelen.;Please test the stability of the online proctoring software more rigorously before real exams.;I feel like I got personalized attention from my coach, which was very reassuring.;De counselors waren luisterend, maar ik wilde meer directe, actiegerichte oplossingen voor mijn specifieke situaties.
521;2;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Please ask [NAME] to grade our work more quickly, the delay is unbearable.;Het zou super zijn als we toegang kregen tot professionele licenties voor de relevante technische software.;Het lijkt erop dat de mentoren simpelweg niet weten hoe snel ze geacht worden te antwoorden.;Het zou fijn zijn als we duidelijker feedback krijgen over hoe onze projecten in de grotere context passen.;Ik zou graag meer feedback willen zien over hoe men best kan scoren op dit type opdracht.;Het zou handig zijn als alle wijzigingen direct in onze studentenportal zouden staan, niet alleen per mail.;Het is belangrijk dat het welzijn van studenten net zo hoog op de agenda staat als de academische prestaties.
522;2;2026/27;Tilburg;Cyber Security;Part-time;Second-year;De workload is zo groot dat het moeilijk is om focus te houden op de belangrijkste onderwerpen.;Ik wil meer specifieke hulp bij het vertalen van mijn academische vaardigheden naar een cv-taal.;De docenten bereiken ons te weinig individueel, het mist de persoonlijke begeleiding.;Het is frustrerend wanneer ik meerdere keren een reactie moet wachten om een simpel advies.;De examenvragen waren soms wat dubbelzinnig en mochten meer context gegeven worden.;Het contactpunt was prima, maar meer structuur in de mentor-sessies zou het nog beter maken.;Het zou helpen als de counseling sessies minder wachtlijsten hadden en makkelijker te boeken waren.
523;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;It feels like emails go unanswered for days, making coordination difficult.;More specialized training on professional interview skills for internships would be greatly appreciated.;Ik ervaar de begeleiding te veel als een massa-uitzending in plaats van persoonlijke ondersteuning.;Het zou fijn zijn met meer flexibele opties voor afspraken.;Ik vond de beveiligingssoftware soms te beperkend en irriteerde mijn werkstroom.;Meer laagdrempelige momenten om vragen te stellen buiten het klaslokaal zou geweldig zijn.;I really appreciate the digital formats, yet some documents are not compatible with my preferred accessibility software.
524;1;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;Honestly, [NAME]'s slow grading habits are negatively impacting my confidence in this course.;Het zou goed zijn met meer verplichte modules over het opbouwen van een professioneel portfolio.;Het is frustrerend dat ik weken moet wachten op een antwoord op een simpele e-mail.;Het was fijn om een plek te hebben waar ik zowel academisch als sociaal steun kon vinden.;The intermittent connectivity issues seriously jeopardized my performance on the digital assessments.;Soms is het lastig om weten wie we precies moeten contacteren voor specifieke onderwerpen.;It was comforting to know that the staff understood the challenges I was facing this year.
525;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;Het curriculum biedt een fantastisch overzicht van zowel academische als professionele kanten.;The connection between theoretical knowledge and actual industry workflows needs much more emphasis in the course structure.;The current setup lacks the personalized guidance that is essential for complex subjects like this.;Meer cursussen over het opbouwen van een persoonlijke merkidentiteit zouden fantastisch zijn.;Ik waardeer de ondersteuning enorm, maar het aanvraagproces is te bureaucratisch.;Ik zou graag meer toegang willen hebben tot oudere studenten die recentelijk afgestudeerd zijn.;Ik hoop dat er opties zijn voor een meer individueel leertraject.
526;2;2026/27;Tilburg;Software Engineering;Full-time;Second-year;The constant juggling of multiple assignments is honestly really stressful and difficult.;More opportunities to connect with alumni working in diverse geographical locations would be fantastic.;We zouden meer tijd nodig hebben voor individuele overleggesprekken over onze loopbaanpaden.;Het zou fijn zijn als de mentoren een centrale planningstool zouden gebruiken.;Het zou een grote verbetering zijn als de feedback direct na het afleggen van het examen beschikbaar was.;Het zou fijn zijn met meer directe Q&A sessions buiten de klasuren om het beter te snappen.;The system for requesting special consideration needs a clearer online interface to use.
527;2;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;I'm struggling to balance the assignments with my other courses, it's too much workload.;Zou het mogelijk zijn om meer industrie-ervaring op te doen via een georganiseerd internship programma?;Als ik snel hulp nodig heb, voelt het wachten op reacties als een enorme bottleneck.;Ik zou graag een meer persoonlijke en langdurige begeleidingstraject willen ervaren.;Could we perhaps incorporate more continuous assessments rather than relying so heavily on final written exams?;It felt like I was just another case file, not a unique student needing genuine support.;Expanding access to virtual appointments would make care more accessible for busy or remote students.
528;2;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;Het is moeilijk om te weten wat we precies moeten opleveren qua beoordeling.;I wish there was a stronger link between theoretical knowledge and practical industry applications.;De uitleg was best verwarrend, ik voelde dat het meer een afgelezen presentatie was.;Het zou prettig zijn als er meer aandacht was voor verschillende culturele feestdagen.;Could we get more options like submitting a detailed research proposal instead of just an exam?;Zouden de docenten meer tijd kunnen reserveren voor spreekuren? Het is vaak te lastig.;Het is moeilijk om duidelijkheid te krijgen over het proces van het aanvragen van een uitstel.
529;2;2026/27;Eindhoven;ICT & Business;Full-time;First-year;Het is teleurstellend dat we zo weinig directe interactie met de docenten krijgen.;Het zou nuttig zijn om de theorie toe te passen op echte, actuele zakelijke situaties.;The current setup minimizes the opportunity for genuine, detailed interaction with faculty.;The current scheduling process feels too complicated and hard to navigate.;Betere uitsplitsing van de vragen en de vereiste output zou het proces verhelderen.;"It felt like I was talking to a script; more real advice would be greatly appreciated.";It would be helpful to have more standardized options for rescheduling deadlines when personal issues arise.
530;1;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;Can we get an update on Smith's marking schedule? This delay is affecting us.;More training on industry-standard software, like Figma or Adobe, would be incredibly beneficial.;De organisatie moet de mentoren meer begeleiden qua pedagogische technieken.;Het gevoel van acceptatie is er, maar cultureel gevoelige hulp is echt noodzakelijk.;Would it be possible to spread out the assessment weight throughout the semester, reducing exam clustering?;De verschillende contactpersonen voor academische hulp zijn niet duidelijk genoeg.;Zou het kunnen dat meer leermaterialen in een meer flexibele en toegankelijke opmaak worden aangeboden?
531;1;2026/27;Den Bosh;Software Engineering;Part-time;Third-year;[NAME] is te traag. [NAME]'s grading cycle is making us anxious about our final GPA.;Kunt u meer aandacht geven aan conflictbeheer en communicatie binnen diverse teams?;It's almost impossible to get continuity when the instructors keep cycling through.;The peer mentoring system provided much-needed emotional and academic support.;Perhaps allowing practical demonstrations would offer a broader view of our skills.;Het zou helpen als er meer structuur was rondom de sociale aspecten van de studie.;The specialized study areas need better ramp access and adequate maneuvering space for wheelchairs.
532;1;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;We really need some extra scheduled time to solidify the theoretical knowledge presented.;Maybe introducing experts from adjacent industries would give us a broader perspective.;Het zou goed zijn als de mentoren ook feedback konden geven op mijn cv en carrièrepad.;It would be helpful if there was a centralized system for escalating unanswered student concerns.;Kunnen we feedback krijgen over hoe ik mijn argumentatie in de praktijk beter kan verankeren?;We really need more direct feedback on our assignments, not just grades.;De communicatie over welke soorten aanpassingen mogelijk zijn, zou duidelijker moeten zijn.
533;2;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;We need clearer timelines for Smith's assessments, de wachttijd is [NAME].;Kunt u meer cursussen aanbieden over het schrijven van effectieve sollicitatiebrieven?;The feedback process felt somewhat rigid, meer spontane input zou echt nuttig zijn.;De begeleiding op mijn studiepad was echt nuttig, ik voelde me hierdoor veel meer gericht.;Assessment should consider our ability to apply knowledge, not just recall it.;Het zou nuttig zijn als de buddy-programma's ook meer gericht zijn op oudere of afgeleide studenten.;Consider offering childcare vouchers or subsidized daycare access on campus.
534;2;2026/27;Tilburg;ICT & Business;Full-time;Second-year;I wish [NAME] would speed up grading, waiting weeks for grades feels unnecessarily punitive.;Het zou handig zijn om meer feedback te krijgen over mijn non-verbale communicatie.;Het wisselende mentorbeleid werkt averechts, we hebben behoefte aan consistente en betrouwbare begeleiding.;We really need clearer guidelines on the expected response time for mentor emails.;"De examinering moest meer specifiek zijn; de vragen waren soms te algemeen geformuleerd.";I wish the study coaches provided more individualized check-ins, not just generic group calls.;Ik waardeer de hulp, maar het gebrek aan follow-up na de sessie is frustrerend.
535;2;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;We really need more lab time, the current contact hours are simply inadequate.;"The modules feel theoretical; employers actually need people who can solve immediate business problems.";De communicatie moet verbeteren, het wachten op de docenten is een grote bron van stress.;De mentoren waren zeer bereikbaar en gaven concrete tips voor mijn studievaardigheden.;Zou het goed zijn als de vragen meer context zouden geven voordat je ze stelt?;Kunt u meer hands-on oefeningen in de virtuele omgeving inbouwen om het leren meer tastbaar te maken?;It would be great if there were a centralized hub for accessible notes and resources.
536;2;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;Het voelt alsof we te weinig contacturen hebben, wat het leren erg beperkt.;Ik verwacht dat de carrièrecentrale meer persoonlijke aandacht en op maat gemaakt advies kan bieden.;I keep running into errors when trying to reserve a slot, which makes planning very difficult.;I appreciate the personalized check-ins, knowing someone cares makes a huge difference.;I need feedback that addresses my critical thinking, not just my ability to recall facts.;We hebben meer ruimte nodig voor spontaan contact, bijvoorbeeld een centrale ontmoetingsplek op de campus.;Ze waren zo ondersteunend en hielpen me met het inhalen van gemiste stof, wat geweldig was.
537;1;2026/27;Eindhoven;Cyber Security;Full-time;First-year;We zouden meer praktische sessies nodig hebben om de theorie echt te kunnen toepassen.;Meer focus op industrie-specifieke software zou onze carrièregroei enorm helpen.;Ik heb het gevoel dat mentorondersteuning te traag is voor urgente academische vragen.;Het is lastig om mentor tijd te krijgen als het schema van de mentor te vol staat.;Zou het mogelijk zijn om online platforms te gebruiken voor snellere feedbackaanlevering?;The personalized support I received really helped me understand my academic weaknesses.;Could you please improve communication about emergency funding availability and timelines?
538;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;Zou het mogelijk zijn om een meer gestructureerde grading timeline te krijgen van [NAME]?;Meer sessies van experts die al in de industrie werken zou de carrièreoriëntatie echt verbeteren.;Het voelt alsof de behandelingen soms te abstract en algemeen blijven.;Het zou fantastisch zijn met meer regelmatige kleine controles om de motivatie hoog te houden.;Some of the grading criteria were confusing, making it hard to know what passed or failed.;Het zou helpen als er een centrale plek was voor snelle antwoorden en contactgegevens.;We need clearer guidelines about emergency funding options and deadlines.
539;2;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;Kunnen we alsjeblieft weten wanneer we de beoordeling van [NAME] kunnen verwachten?;Een uitgebreidere en meer diverse carrièrebeurs zou ons helpen met oriëntatie op de arbeidsmarkt.;Kunnen de begeleiders hun e-mails sneller beantwoorden? Het voelt alsof niemand aandacht heeft.;Ik vond de groepsgesprekken erg nuttig, het voelde alsof ik bij een familie was.;It would be beneficial to have clearer guidelines on accessing specialized software for tests.;De coaches zijn erg deskundig, maar het contact voelt soms te kort en oppervlakkig.;We zouden meer aangepaste studeerplekken in de buitenruimtes willen, bijvoorbeeld.
540;1;2026/27;Venlo;HBO-ICT;Part-time;Fourth-year;Ik voel me constant overbelast met [NAME] huiswerk die we moeten inleveren. (I feel constantly overwhelmed with the amount of homework we have to hand in.);I suggest focusing on tools commonly used by firms in this sector, making us job-ready.;I find it difficult because the instructors offer conflicting information regarding policy.;Ik merk dat ik sneller help met meer gestructureerde en frequente begeleiding.;Het is lastig om te weten welke bronnen de primaire focus van de examenopdracht moeten zijn.;Ik zou graag meer feedback willen ontvangen over mijn opdrachten, niet alleen een cijferje.;Can we get a central repository for fully accessible, captioned learning materials?
541;1;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Ik ben erg onder de indruk van hoe de docenten de theorie direct toepasbaar maken in de praktijk.;Integrating live industry problems into our coursework would make it much more relevant.;Could the school please address the high turnover among faculty? It makes keeping momentum almost impossible.;It was really reassuring to have expert advice on thesis options and academic hurdles.;Perhaps providing more detailed and constructive feedback, rather than just a grade, would be beneficial for growth.;Extra sessies over het vinden van betaalbare huisvesting zouden erg nuttig zijn.;My lecturers showed remarkable empathy, making sure my focus remained on learning, not stress.
542;1;2026/27;Tilburg;Cyber Security;Full-time;Second-year;Honestly, the delayed feedback from [NAME] makes it impossible to adjust for the next assignment.;Het zou echt nuttig zijn om vroeg in het studieprogramma al in contact te komen met potentiële werkgevers.;Kunnen we meer case studies zien die direct relevant zijn voor de hedendaagse industrie?;Het netwerkevenement gisteren was fantastisch, ik heb veel waardevolle contacten gelegd.;Please communicate clearer expectations regarding the expected turnaround time for all assessments.;Nog meer proactieve check-ins zouden mijn betrokkenheid echt kunnen verhogen, echt.;More flexible participation requirements would allow for greater study integration with caregiving duties.
543;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;De communicatie van docenten is soms heel traag, wat het leerproces flink belemmert.;Misschien kunnen we ook meer speakers uit de lokale MKB-sector uitnodigen?;Meer systemen nodig om de mentorresponstijd te verkorten, want het is nu te traag.;Het nuttig om te zien hoe ik mijn academische kennis kan toepassen in de echte arbeidsmarkt.;More targeted suggestions on specific concepts would be really helpful for studying.;I really hope staff members can be more responsive when answering student queries outside of class time.;Could the elevators in the main building be updated to better accommodate mobility aids?
544;2;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;Kunt u de docenten aanmoedigen om meer flexibele en toegankelijke spreekuuropties aan te bieden?;Ik vind het idee van een regelmatige paneldiscussie met verschillende professionals erg waardevol.;Honestly, the constant change in mentors makes it really hard to build any lasting connection.;The networking opportunities with peers helped me feel less isolated while adjusting to university life.;We need better resources for managing the intense pressure that comes with final examinations.;Kunnen we meer weten over wanneer docenten casual beschikbaar zijn voor een snelle chat?;Het is belangrijk dat er altijd een alternatief is als de lift defect is voor belangrijke afspraken.
545;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;Het zou heel fijn zijn met extra sessies om alle stof echt goed te kunnen doorgronden.;Het huidige aanbod is goed, maar meer praktijkvoorbeelden en mock-interviews zouden het nog beter maken.;Het boekingssysteem is te frustrerend, ik kon altijd geen geschikte tijd vinden.;I really appreciate the counseling services available on campus right now.;"Graag meer directe en specifieke feedback; alleen een cijfer zegt eigenlijk niets over onze prestaties.";Het is echt frustrerend dat de schemawijzigingen altijd pas vlak voor de les worden gecommuniceerd.;More practical advice and time off options for students with significant care responsibilities.
546;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;Het zou waardevol zijn om de impact van kolonialisme op verschillende etnische groepen dieper te bestuderen.;Het zou helpen om eens te zien hoe een bedrijf echt functioneert door een sitebezoek. Dat is echt leerzaam.;I wish there was a warning system when specific time slots are highly contested.;Wat betreft emotionele ondersteuning, voelt het soms wat ad hoc en niet structureel.;Could the institution consider incorporating more low-stakes, practical assessments to reduce overall exam anxiety?;Could the staff incorporate more real-time polling or quick polls to keep everyone attentive and involved?;They could improve by having counselors with specific training in anxiety and learning differences.
547;2;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;Smith's grading process feels stalled, [NAME], to please?;Het zou nuttig zijn om sessies te organiseren met mensen uit niet-academische, maar gerelateerde vakgebieden.;Waarom is het zo lang om een simpel mailtje te ontvangen? Het is erg frustrerend.;Could the mentorship staff implement a more proactive check-in system instead of waiting for us to reach out?;Het zou echt helpen als de feedback directer en sneller beschikbaar zou zijn na het examen.;Het is cruciaal dat we snelle en duidelijke feedback krijgen op onze ingeleverde werkstukken.;De ondersteuning was uitstekend, en ze reageerden altijd met empathie en begrip.
548;1;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;Smith's tardiness with grades is making us panic, we need timely updates, please.;Seeing how businesses actually run through organized visits is invaluable for career planning.;De snelle wisseling van mentoren haalt echt de focus uit de hele cursus.;I really appreciated the opportunities to connect with people who understand my academic struggles.;Een mix is perfect, maar de dichtheid van de examens in november is echt te hoog.;I think expanding the reach to rural areas and online learners would significantly improve engagement.;More designated quiet study areas with proper seating arrangements are much needed.
549;1;2026/27;Eindhoven;ICT & Business;Part-time;First-year;Soms voelt het alsof de docent te abstract blijft en minder verbindt met de praktijk.;Could you organize industry-specific meet-ups to help us explore career paths?;De instructie mist die diepte die je krijgt als je echt met één persoon kunt sparren.;Het zou fijn zijn als er meer flexibele uren beschikbaar waren voor de sessies.;Ik heb behoefte aan feedback die mijn kritisch denkvermogen verder aanscherpt en uitdaagt.;Meer peer-to-peer sessies zouden een leuke manier zijn om toch nog meer contact te krijgen.;Het zou een enorme verbetering zijn als alle faciliteiten op de eerste verdieping direct bereikbaar zijn.
550;2;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;Het is lastig om de video's te volgen omdat de apparatuur vaak hapert.;Ik hoop dat we meer uitdagingen krijgen die herleiden zijn aan actuele industrieproblemen.;Ik waardeer de initiatief, maar de mentoren moeten misschien meer op het gebied van toelichting leren.;Could the institution implement a dedicated scheduling tool to improve accessibility?;Meer workshops over stressmanagement en copingmechanismen zouden heel waardevol zijn voor iedereen.;It would be really useful to get more one-on-one feedback sessions with the subject matter experts.;De liften tussen de verschillende gebouwen werken soms niet, wat een groot probleem is.
551;1;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;I wish the teachers had more accessible office hours, they are almost impossible to schedule.;I wish the program included more modules on data visualization tools, as that skill is highly sought after in the job market.;Ik heb meer behoefte aan snelle ondersteuning, de wachttijd is gewoon te groot.;I feel much more confident about my career path after speaking with my mentor.;The academic staff are very accommodating, but the physical testing environment needs better accessibility ramps.;The process for academic advising feels separate from the administrative help, which is confusing.;"Their guidance felt too general; I need tailored advice for my particular learning differences."
552;2;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;Kunnen we vragen om een betere grading planning? [NAME] is te langzaam.;Het zou goed zijn met een grotere database van mogelijke stage-instellingen. (Dutch);De docenten lijken minder bereikbaar voor de online studenten dan voor degenen die dagelijks aanwezig zijn.;Ik zou graag zien dat de mentor meer consistent contact opneemt, niet alleen wanneer we het moeten vragen.;De beoordelingscriteria waren duidelijk en eerlijk, ik voelde me goed over de transparantie.;Could we have more inter-departmental mixers to help students meet people outside their main majors?;De counselors waren erg begripvol, maar meer praktische tips zouden nuttig zijn.
553;1;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;I'm unsure if my effort aligns with the passing grade because the criteria were ambiguous.;Het zou fantastisch zijn om meer guest speakers van de industrie te krijgen, om inzicht te krijgen in de praktijk.;Het is frustrerend dat de mentors soms tegenstrijdige informatie geven over de cursus.;I think more frequent check-ins, maybe bi-weekly, would be really helpful for my progress.;We need better guidelines on how to handle unexpected technical failures without penalty.;More chances for informal group discussion, maybe through a dedicated Discord channel, would be great.;Meer workshops over het opbouwen van veerkracht zouden echt een verschil kunnen maken.
554;2;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Could the institution consider adding extra makeup classes? The current schedule feels quite rushed.;Could we please have more focused job panels specifically for technology roles?;Het zou geweldig zijn als de docenten meer industriegebieden konden delen met ons.;It would really help if they provided materials that acknowledge my heritage and background.;Ik vrees dat de weging van verschillende onderdelen van het examen te wisselvallig was.;Misschien zouden er vaste, laagdrempelige ‘walk-in’ sessies op verschillende dagen kunnen komen.;Ik hoop dat er meer multidisciplinaire teams komen kijken naar de studentenproblematiek.
